date,author_code,author_name,poem_title,
2025-09-09,AM,Andrew Marvell,To His Coy Mistress,
2025-09-10,GB,Gwendolyn Brooks,We Real Cool,
2025-09-11,gs,Gertrude Stein,Sacred Emily,
2025-09-12,ad,,,
2025-09-13,WSJ,Wallace Stevens,Anecdote of the Jar,
2025-09-14,HS,John Donne,"Holy Sonnets: Death, be not proud",
2025-09-15,RN,Robert Frost,The Road Not Taken,
2025-09-16,GC,Geoffrey Chaucer,"The Canterbury Tales, Prologue",
2025-09-17,CR,Christina Rossetti,Goblin Market,
2025-09-18,SSS,Shel Silverstein,Falling Up,
2025-09-19,EBB,Elizabeth Barrett Browning,How Do I Love Thee? (Sonnet 43),
2025-09-20,au,W.H. Auden,Twelve Songs: IX,
2025-09-21,BG,Gwendolyn Brooks,The Bean Eaters,
2025-09-22,TB,William Butler Yeats,"Easter, 1916",
2025-09-23,WA,Walt Whitman,Song of Myself,
2025-09-24,PPS,,,
2025-09-25,PL,Paul Laurence Dunbar,We Wear the Mask,
2025-09-26,PW,Billy Collins,Cheerios,
2025-09-27,JMD,John Milton,Paradise Lost: Book 1,
2025-09-28,GA,Allen Ginsberg,A Supermarket in California,
2025-09-29,ATP,Alfred Lord Tennyson,Ulysses,
2025-09-30,GS,Gertrude Stein,Sacred Emily,
2025-10-01,FR,Robert Frost,Mending Wall,
2025-10-02,ESM,Edna St. Vincent Millay,First Fig,
2025-10-03,TE,T.S. Eliot,The Love Song of J. Alfred Prufrock,
2025-10-04,SH,Seamus Heaney,Digging,
2025-10-05,GB,Gwendolyn Brooks,We Real Cool,
2025-10-06,WW,William Wordsworth,I wandered Lonely as a Cloud,
2025-10-07,ED,Emily Dickinson,I’m Nobody! Who are you? (260),
2025-10-08,EM,Edna St. Vincent Millay,"What lips my lips have kissed, and where, and why",
2025-10-09,SS,William Shakespeare,Shall I compare thee to a summer’s day?,
2025-10-10,WY,William Butler Yeats,The Second Coming,
2025-10-11,LH,Langston Hughes,Harlem,
2025-10-12,PS,Percy Shelley,Ozymandias,
2025-10-13,EC,E.E. Cummings,anyone lived in a pretty how town,
2025-10-14,WR,Ernest Dowson,Vitae Summa Brevis Spem Nos Vetat Incohare Longam,
2025-10-15,OC,Walt Whitman,O Captain! My Captain!,
2025-10-16,EB,Elizabeth Bishop,One Art,
2025-10-17,KG,Khalil Gibran,On Marriage,
2025-10-18,CK,Carole King,I Feel the Earth Move,
2025-10-19,AT,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,
2025-10-20,MH,Gerard Manley Hopkins,God's Grandeur,
2025-10-21,AG,Toni Morrison,Beloved,
2025-10-22,SP,Sylvia Plath,Lady Lazarus,
2025-10-23,MO,Mary Oliver,Wild Geese,
2025-10-24,TS,T.S. Eliot,The Waste Land,
2025-10-25,PLA,Philip Larkin,This Be The Verse,
2025-10-26,EDF,Emily Dickinson,I heard a Fly buzz - when I died -,
2025-10-27,CB,Charles Bukowski,bluebird,
2025-10-28,EE,E.E. Cummings,[little tree],
2025-10-29,WB,William Blake,The Tyger,
2025-10-30,CR,Christina Rossetti,Goblin Market,
2025-10-31,LB,Lord Byron,She Walks in Beauty,
2025-11-01,WS,William Shakespeare,Sonnet 97: How like a winter hath my absence been,
2025-11-02,SC,Samuel Taylor Coleridge,Kubla Khan,
2025-11-03,WBL,William Blake,The Lamb,
2025-11-04,AP,Edgar Allen Poe,Annabel Lee,
2025-11-05,JD,John Donne,A Valediction: Forbidding Mourning,
2025-11-06,EH,Emily Dickinson,“Hope” is the thing with feathers,
2025-11-07,JM,John Milton,On the Morning of Christ's Nativity,
2025-11-08,DT,Dylan Thomas,Do Not Go Gentle Into That Good Night,
2025-11-09,ma,Maya Angelou,Still I Rise,
2025-11-10,CM,Claude McKay,If We Must Die,
2025-11-11,HL,Henry Wadsworth Longfellow,The Song of Hiawatha,
2025-11-12,OC,Walt Whitman,O Captain! My Captain!,
2025-11-13,CW,William Carlos Williams,The Red Wheelbarrow,
2025-11-14,AF,Jane Austen,Pride and Prejudice,
2025-11-15,WH,W.H. Auden,Musée des Beaux Arts,
2025-11-16,SPH,Sappho,"[""I asked myself""]",
2025-11-17,RB,Robert Browning,My Last Duchess,
2025-11-18,AB,Anne Bradstreet,To my dear and loving husband,
2025-11-19,WYC,William Butler Yeats,Sailing to Byzantium,
2025-11-20,bc,Billy Collins,Snow Day,
2025-11-21,ST,Tupac Shakur,The Rose That Grew from Concrete,
2025-11-22,WAM,W.H. Auden,In Memory of W.B. Yeats,
2025-11-23,BJ,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",
2025-11-24,EP,Ezra Pound,In a Station of the Metro,
2025-11-25,JK,John Keats,Ode on a Grecian Urn,
2025-11-26,LH,Langston Hughes,Weary Blues,
2025-11-27,AM,Andrew Marvell,To His Coy Mistress,
2025-11-28,RHA,Robert Hayden,Those Winter Sundays,
2025-11-29,gs,Gertrude Stein,Sacred Emily,
2025-11-30,RF,Robert Frost,Stopping By Woods on a Snowy Evening,
2025-12-01,WSJ,Wallace Stevens,Anecdote of the Jar,
2025-12-02,HS,John Donne,"Holy Sonnets: Death, be not proud",
2025-12-03,RN,Robert Frost,The Road Not Taken,
2025-12-04,GC,Geoffrey Chaucer,"The Canterbury Tales, Prologue",
2025-12-05,CR,Christina Rossetti,Goblin Market,
2025-12-06,SSS,Shel Silverstein,Falling Up,
2025-12-07,EB,Elizabeth Barrett Browning,How Do I Love Thee? (Sonnet 43),
2025-12-08,au,W.H. Auden,Twelve Songs: IX,
2025-12-09,BG,Gwendolyn Brooks,The Bean Eaters,
2025-12-10,TB,William Butler Yeats,"Easter, 1916",
2025-12-11,WA,Walt Whitman,Song of Myself,
2025-12-12,AE,Charles Dickens,A Tale of Two Cities,
2025-12-13,PL,Paul Laurence Dunbar,We Wear the Mask,
2025-12-14,LC,Lewis Carroll,The Jabberwocky,
2025-12-15,JMD,John Milton,Paradise Lost: Book 1,
2025-12-16,GA,Allen Ginsberg,A Supermarket in California,
2025-12-17,ATP,Alfred Lord Tennyson,Ulysses,
2025-12-18,DSM,Danez Smith,dear white america,
2025-12-19,PR,Prince,Purple Rain,
2025-12-20,TS,T.S. Eliot,The Waste Land,
2025-12-21,LYL,Li-Young Lee,Persimmons,
2025-12-22,RK,Rupi Kaur,milk and honey,
2025-12-23,THG,Ted Hughes,The Thought-Fox,
2025-12-24,bc,Billy Collins,Snow Day,
2025-12-25,EE,E.E. Cummings,[little tree],
2025-12-26,WSJT,Wallace Stevens,The Snow Man,
2025-12-27,WC,William Carlos Williams,This Is Just to Say,
2025-12-28,AR,Adrienne Rich,Aunt Jennifer's Tigers,
2025-12-29,APH,Alexander Pope,An Essay on Man,
2025-12-30,LCL,Lucille Clifton,homage to my hips,
2025-12-31,ALT,Alfred Lord Tennyson,"In Memoriam [Ring out, wild bells]",
2026-01-01,RBU,Robert Burns,Auld Lang Syne,
2026-01-02,AMG,Amanda Gorman,The Hill We Climb,
2026-01-03,ESR,Edna St. Vincent Millay,Recuerdo,
2026-01-04,PLS,Paul Laurence Dunbar,Sympathy,
2026-01-05,WSM,William Shakespeare,Macbeth,
2026-01-06,SCM,Samuel Taylor Coleridge,The Rime of the Ancient Mariner,
2026-01-07,TEH,T.S. Eliot,The Hollow Men,*****
2026-01-08,HL,Henry Wadsworth Longfellow,The Song of Hiawatha,
2026-01-09,OC,Walt Whitman,O Captain! My Captain!,
2026-01-10,CW,William Carlos Williams,The Red Wheelbarrow,
2026-01-11,AF,Jane Austen,Pride and Prejudice,
2026-01-12,WH,W.H. Auden,Musée des Beaux Arts,
2026-01-13,EM,Edna St. Vincent Millay,"What lips my lips have kissed, and where, and why",
2026-01-14,RB,Robert Browning,My Last Duchess,
2026-01-15,AB,Anne Bradstreet,To my dear and loving husband,
2026-01-16,WYC,William Butler Yeats,Sailing to Byzantium,
2026-01-17,bc,Billy Collins,Snow Day,
2026-01-18,at,Alfred Lord Tennyson,In Memoriam A.H.H. 1849,
2026-01-19,BJ,Ben Jonson,"To the Memory of My Beloved the Author, Mr. William Shakespeare",
2026-01-20,EP,Ezra Pound,In a Station of the Metro,
2026-01-21,JK,John Keats,Ode on a Grecian Urn,
2026-01-22,LH,Langston Hughes,Harlem,
2026-01-23,AM,Andrew Marvell,To His Coy Mistress,
2026-01-24,GB,Gwendolyn Brooks,We Real Cool,
2026-01-25,gs,Gertrude Stein,Sacred Emily,
2026-01-26,TE,T.S. Eliot,The Love Song of J. Alfred Prufrock,
2026-01-27,WSJ,Wallace Stevens,Anecdote of the Jar,
2026-01-28,HS,John Donne,"Holy Sonnets: Death, be not proud",
2026-01-29,RN,Robert Frost,The Road Not Taken,
2026-01-30,GC,Geoffrey Chaucer,"The Canterbury Tales, Prologue",
2026-01-31,CR,Christina Rossetti,Goblin Market,
2026-02-01,SSS,Shel Silverstein,Falling Up,
2026-02-02,EB,Elizabeth Barrett Browning,How Do I Love Thee? (Sonnet 43),
2026-02-03,au,W.H. Auden,Twelve Songs: IX,
2026-02-04,BG,Gwendolyn Brooks,The Bean Eaters,
2026-02-05,TB,William Butler Yeats,"Easter, 1916",
2026-02-06,WA,Walt Whitman,Song of Myself,
2026-02-07,FR,Robert Frost,Mending Wall,
2026-02-08,PL,Paul Laurence Dunbar,We Wear the Mask,
2026-02-09,LC,Lewis Carroll,The Jabberwocky,
2026-02-10,JMD,John Milton,Paradise Lost: Book 1,
2026-02-11,GA,Allen Ginsberg,A Supermarket in California,
2026-02-12,ATP,Alfred Lord Tennyson,Ulysses,
2026-02-13,GS,Gertrude Stein,Sacred Emily,
2026-02-14,FR,Robert Frost,Mending Wall,
2026-02-15,TS,T.S. Eliot,The Waste Land,
2026-02-16,,,,
2026-02-17,,,,
2026-02-18,,,,
2026-02-19,,,,
2026-02-20,,,,
2026-02-21,,,,
2026-02-22,,,,
2026-02-23,,,,
2026-02-24,,,,
2026-02-25,,,,
2026-02-26,,,,
2026-02-27,,,,
2026-02-28,,,,
2026-03-01,,,,
,TE,T.S. Eliot,The Love Song of J. Alfred Prufrock,
,SP,Sylvia Plath,Lady Lazarus,
,RF,Robert Frost,Stopping By Woods on a Snowy Evening,
,SS,William Shakespeare,Shall I compare thee to a summer’s day?,