date,country
2024-03-28,AP
2024-03-29,WY
2024-03-30,JM
2024-03-31,WY
2024-04-01,GC
2024-04-02,TB
2024-04-03,BG
2024-04-04,LH
2024-04-05,wy
2024-04-06,AT
2024-04-07,EE
2024-04-08,HL
2024-04-09,gs
2024-04-10,JK
2024-04-11,EC
2024-04-12,HL
2024-04-13,EP
2024-04-14,wb
2024-04-15,GA
2024-04-16,ma
2024-04-17,WY
2024-04-18,AP
2024-04-19,av
2024-04-20,EH
2024-04-21,WB
2024-04-22,HL
2024-04-23,SP
2024-04-24,bc
2024-04-25,PS
2024-04-26,SS
2024-04-27,HS
2024-04-28,BJ
2024-04-29,LB
2024-04-30,SC
2024-05-01,EDF
2024-05-02,MH
2024-05-03,WSJ
2024-05-04,RN
2024-05-05,CW
2024-05-06,WA
2024-05-07,AM
2024-05-08,OC
2024-05-09,AF
2024-05-10,CM
2024-05-11,EM
2024-05-12,EB
2024-05-13,RF
2024-05-14,WA
2024-05-15,WBL
2024-05-16,AG
2024-05-17,TS
2024-05-18,SSS
2024-05-19,TE
2024-05-20,JMD
2024-05-21,GB
2024-05-22,WS
2024-05-23,RB
2024-05-24,ATP
2024-05-25,KG
2024-05-26,EP
2024-05-27,WR
2024-05-28,FR
2024-05-29,CB
2024-05-30,WYC
2024-05-31,LC
2024-06-01,ed
2024-06-02,LB
2024-06-03,WS
2024-06-04,CR
2024-06-05,ED
2024-06-06,JD
2024-06-07,PL
2024-06-08,SS
2024-06-09,PS
2024-06-10,WW
2024-06-11,ST
2024-06-12,GS
2024-06-13,CR
2024-06-14,OC
2024-06-15,CW
2024-06-16,AF
2024-06-17,EM
2024-06-18,AB
2024-06-19,at
2024-06-20,au
2024-06-21,ed
2024-06-22,bc
2024-06-23,at
2024-06-24,BJ
2024-06-25,AE
2024-06-26,WH
2024-06-27,LH
2024-06-28,AM
2024-06-29,ST
2024-06-30,gs
2024-07-01,ad
2024-07-02,WSJ
2024-07-03,HS
2024-07-04,GS
2024-07-05,PS
2024-07-06,PPS
2024-07-07,SSS
2024-07-08,EB
2024-07-09,au
2024-07-10,BG
2024-07-11,TB
2024-07-12,WA
2024-07-13,PPS
2024-07-14,PL
2024-07-15,LC
2024-07-16,JMD
2024-07-17,GA
2024-07-18,ATP
2024-07-19,GS
2024-07-20,FR
2024-07-21,TS
2024-07-22,TE
2024-07-23,SP
2024-07-24,RF
2024-07-25,SS
2024-07-26,WW
2024-07-27,ST
2024-07-28,PS
2024-07-29,EC
2024-07-30,WR
2024-07-31,wy
2024-08-01,KG
2024-08-02,AE
2024-08-03,AT
2024-08-04,MH
2024-08-05,AG
2024-08-06,ED
2024-08-07,EDF
2024-08-08,WY
2024-08-09,av
2024-08-10,CB
2024-08-11,EE
2024-08-12,WB
2024-08-13,ed
2024-08-14,LB
2024-08-15,WS
2024-08-16,SC
2024-08-17,WBL
2024-08-18,AP
2024-08-19,JD
2024-08-20,EH
2024-08-21,JM
2024-08-22,wb
2024-08-23,ma
2024-08-24,CM
2024-08-25,HL
2024-08-26,OC
2024-08-27,CW
2024-08-28,AF
2024-08-29,WH
2024-08-30,EM
2024-08-31,RB
2024-09-01,AB
2024-09-02,WYC
2024-09-03,bc
2024-09-04,at
2024-09-05,BJ
2024-09-06,EP
2024-09-07,JK
2024-09-08,LH
2024-09-09,AM
2024-09-10,GB
2024-09-11,gs
2024-09-12,ad
2024-09-13,WSJ
2024-09-14,HS
2024-09-15,RN
2024-09-16,GC
2024-09-17,CR
2024-09-18,SSS
2024-09-19,EB
2024-09-20,au
2024-09-21,BG
2024-09-22,TB
2024-09-23,WA
2024-09-24,PPS
2024-09-25,PL
2024-09-26,LC
2024-09-27,JMD
2024-09-28,GA
2024-09-29,ATP
2024-09-30,GS
2024-10-01,FR
2024-10-02,TS
2024-10-03,TE
2024-10-04,SP
2024-10-05,RF
2024-10-06,SS
2024-10-07,WW
2024-10-08,ST
2024-10-09,PS
2024-10-10,EC
2024-10-11,WR
2024-10-12,wy
2024-10-13,KG
2024-10-14,AE
2024-10-15,AT
2024-10-16,MH
2024-10-17,AG
2024-10-18,ED
2024-10-19,EDF
2024-10-20,WY
2024-10-21,av
2024-10-22,CB
2024-10-23,EE
2024-10-24,WB
2024-10-25,ed
2024-10-26,LB
2024-10-27,WS
2024-10-28,SC
2024-10-29,WBL
2024-10-30,AP
2024-10-31,JD
2024-11-01,EH
2024-11-02,JM
2024-11-03,wb
2024-11-04,ma
2024-11-05,CM
2024-11-06,HL
2024-11-07,OC
2024-11-08,CW
2024-11-09,AF
2024-11-10,WH
2024-11-11,EM
2024-11-12,RB
2024-11-13,AB
2024-11-14,WYC
2024-11-15,bc
2024-11-16,at
2024-11-17,BJ
2024-11-18,EP
2024-11-19,JK
2024-11-20,LH
2024-11-21,AM
2024-11-22,GB
2024-11-23,gs
2024-11-24,ad
2024-11-25,WSJ
2024-11-26,HS
2024-11-27,RN
2024-11-28,GC
2024-11-29,CR
2024-11-30,SSS
2024-12-01,EB
2024-12-02,au
2024-12-03,BG
2024-12-04,TB
2024-12-05,WA
2024-12-06,PPS
2024-12-07,PL
2024-12-08,LC
2024-12-09,JMD
2024-12-10,GA
2024-12-11,ATP
2024-12-12,GS
2024-12-13,FR
2024-12-14,TS
2024-12-15,TE
2024-12-16,SP
2024-12-17,RF
2024-12-18,SS
2024-12-19,WW
2024-12-20,ST
2024-12-21,PS
2024-12-22,EC
2024-12-23,WR
2024-12-24,wy
2024-12-25,KG
2024-12-26,AE
2024-12-27,AT
2024-12-28,MH
2024-12-29,AG
2024-12-30,ED
2024-12-31,EDF
2025-01-01,WY
2025-01-02,av
2025-01-03,CB
2025-01-04,EE
2025-01-05,WB
2025-01-06,ed
2025-01-07,LB
2025-01-08,WS
2025-01-09,SC
2025-01-10,WBL
2025-01-11,AP
2025-01-12,JD
2025-01-13,EH
2025-01-14,JM
2025-01-15,wb
2025-01-16,ma
2025-01-17,CM
2025-01-18,HL
2025-01-19,OC
2025-01-20,CW
2025-01-21,AF
2025-01-22,WH
2025-01-23,EM
2025-01-24,RB
2025-01-25,AB
2025-01-26,WYC
2025-01-27,bc
2025-01-28,at
2025-01-29,BJ
2025-01-30,EP
2025-01-31,JK
2025-02-01,LH
2025-02-02,AM
2025-02-03,GB
2025-02-04,gs
2025-02-05,ad
2025-02-06,WSJ
2025-02-07,HS
2025-02-08,RN
2025-02-09,GC
2025-02-10,CR
2025-02-11,SSS
2025-02-12,EB
2025-02-13,au
2025-02-14,BG
2025-02-15,TB
2025-02-16,WA
2025-02-17,PPS
2025-02-18,PL
2025-02-19,LC
2025-02-20,JMD
2025-02-21,GA
2025-02-22,ATP
2025-02-23,GS
2025-02-24,FR
2025-02-25,TS
2025-02-26,TE
2025-02-27,SP
2025-02-28,RF
2025-03-01,SS
2025-03-02,WW
2025-03-03,ST
2025-03-04,PS
2025-03-05,EC
2025-03-06,WR
2025-03-07,wy
2025-03-08,KG
2025-03-09,AE
2025-03-10,AT
2025-03-11,MH
2025-03-12,AG
2025-03-13,ED
2025-03-14,EDF
2025-03-15,WY
2025-03-16,av
2025-03-17,CB
2025-03-18,EE
2025-03-19,WB
2025-03-20,ed
2025-03-21,LB
2025-03-22,WS
2025-03-23,SC
2025-03-24,WBL
2025-03-25,AP
2025-03-26,JD
2025-03-27,EH
2025-03-28,JM
2025-03-29,wb
2025-03-30,ma
2025-03-31,CM
2025-04-01,HL
2025-04-02,OC
2025-04-03,CW
2025-04-04,AF
2025-04-05,WH
2025-04-06,EM
2025-04-07,RB
2025-04-08,AB
2025-04-09,WYC
2025-04-10,bc
2025-04-11,at
2025-04-12,BJ
2025-04-13,EP
2025-04-14,JK
2025-04-15,LH
2025-04-16,AM
2025-04-17,GB
2025-04-18,gs
2025-04-19,ad
2025-04-20,WSJ
2025-04-21,HS
2025-04-22,RN
2025-04-23,GC
2025-04-24,CR
2025-04-25,SSS
2025-04-26,EB
2025-04-27,au
2025-04-28,BG
2025-04-29,TB
2025-04-30,WA
2025-05-01,PPS
2025-05-02,PL
2025-05-03,LC
2025-05-04,JMD
2025-05-05,GA
2025-05-06,ATP
2025-05-07,GS
2025-05-08,FR
2025-05-09,TS
2025-05-10,TE
2025-05-11,SP
2025-05-12,RF
2025-05-13,SS
2025-05-14,WW
2025-05-15,ST
2025-05-16,PS
2025-05-17,EC
2025-05-18,WR
2025-05-19,wy
2025-05-20,KG
2025-05-21,AE
2025-05-22,AT
2025-05-23,MH
2025-05-24,AG
2025-05-25,ED
2025-05-26,EDF
2025-05-27,WY
2025-05-28,av
2025-05-29,CB
2025-05-30,EE
2025-05-31,WB
2025-06-01,ed
2025-06-02,LB
2025-06-03,WS
2025-06-04,SC
2025-06-05,WBL
2025-06-06,AP
2025-06-07,JD
2025-06-08,EH
2025-06-09,JM
2025-06-10,wb
2025-06-11,ma
2025-06-12,CM
2025-06-13,HL
2025-06-14,OC
2025-06-15,CW
2025-06-16,AF
2025-06-17,WH
2025-06-18,EM
2025-06-19,RB
2025-06-20,AB
2025-06-21,WYC
2025-06-22,bc
2025-06-23,at
2025-06-24,BJ
2025-06-25,EP
2025-06-26,JK
2025-06-27,LH
2025-06-28,AM
2025-06-29,GB
2025-06-30,gs
2025-07-01,ad
2025-07-02,WSJ
2025-07-03,HS
2025-07-04,RN
2025-07-05,GC
2025-07-06,CR
2025-07-07,SSS
2025-07-08,EB
2025-07-09,au
2025-07-10,BG
2025-07-11,TB
2025-07-12,WA
2025-07-13,PPS
2025-07-14,PL
2025-07-15,LC
2025-07-16,JMD
2025-07-17,GA
2025-07-18,ATP
2025-07-19,GS
2025-07-20,FR
2025-07-21,TS
2025-07-22,TE
2025-07-23,SP
2025-07-24,RF
2025-07-25,SS
2025-07-26,WW
2025-07-27,ST
2025-07-28,PS
2025-07-29,EC
2025-07-30,WR
2025-07-31,wy
2025-08-01,KG
2025-08-02,AE
2025-08-03,AT
2025-08-04,MH
2025-08-05,AG
2025-08-06,ED
2025-08-07,EDF
2025-08-08,WY
2025-08-09,av
2025-08-10,CB
2025-08-11,EE
2025-08-12,WB
2025-08-13,ed
2025-08-14,LB
2025-08-15,WS
2025-08-16,SC
2025-08-17,WBL
2025-08-18,AP
2025-08-19,JD
2025-08-20,EH
2025-08-21,JM
2025-08-22,wb
2025-08-23,ma
2025-08-24,CM
2025-08-25,HL
2025-08-26,OC
2025-08-27,CW
2025-08-28,AF
2025-08-29,WH
2025-08-30,EM
2025-08-31,RB
2025-09-01,AB
2025-09-02,WYC
2025-09-03,bc
2025-09-04,at
2025-09-05,BJ
2025-09-06,EP
2025-09-07,JK
2025-09-08,LH
2025-09-09,AM
2025-09-10,GB
2025-09-11,gs
2025-09-12,ad
2025-09-13,WSJ
2025-09-14,HS
2025-09-15,RN
2025-09-16,GC
2025-09-17,CR
2025-09-18,SSS
2025-09-19,EB
2025-09-20,au
2025-09-21,BG
2025-09-22,TB
2025-09-23,WA
2025-09-24,PPS
2025-09-25,PL
2025-09-26,LC
2025-09-27,JMD
2025-09-28,GA
2025-09-29,ATP
2025-09-30,GS
2025-10-01,FR
2025-10-02,TS
2025-10-03,TE
2025-10-04,SP
2025-10-05,RF
2025-10-06,SS
2025-10-07,WW
2025-10-08,ST
2025-10-09,PS
2025-10-10,EC
2025-10-11,WR
2025-10-12,wy
2025-10-13,KG
2025-10-14,AE
2025-10-15,AT
2025-10-16,MH
2025-10-17,AG
2025-10-18,ED
2025-10-19,EDF
2025-10-20,WY
2025-10-21,av
2025-10-22,CB
2025-10-23,EE
2025-10-24,WB
2025-10-25,ed
2025-10-26,LB
2025-10-27,WS
2025-10-28,SC
2025-10-29,WBL
2025-10-30,AP
2025-10-31,JD
2025-11-01,EH
2025-11-02,JM
2025-11-03,wb
2025-11-04,ma
2025-11-05,CM
2025-11-06,HL
2025-11-07,OC
2025-11-08,CW
2025-11-09,AF
2025-11-10,WH
2025-11-11,EM
2025-11-12,RB
2025-11-13,AB
2025-11-14,WYC
2025-11-15,bc
2025-11-16,at
2025-11-17,BJ
2025-11-18,EP
2025-11-19,JK
2025-11-20,LH
2025-11-21,AM
2025-11-22,GB
2025-11-23,gs
2025-11-24,ad
2025-11-25,WSJ
2025-11-26,HS
2025-11-27,RN
2025-11-28,GC
2025-11-29,CR
2025-11-30,SSS
2025-12-01,EB
2025-12-02,au
2025-12-03,BG
2025-12-04,TB
2025-12-05,WA
2025-12-06,PPS
2025-12-07,PL
2025-12-08,LC
2025-12-09,JMD
2025-12-10,GA
2025-12-11,ATP
2025-12-12,GS
2025-12-13,FR
2025-12-14,TS
2025-12-15,TE
2025-12-16,SP
2025-12-17,RF
2025-12-18,SS
2025-12-19,WW
2025-12-20,ST
2025-12-21,PS
2025-12-22,EC
2025-12-23,WR
2025-12-24,wy
2025-12-25,KG
2025-12-26,AE
2025-12-27,AT
2025-12-28,MH
2025-12-29,AG
2025-12-30,ED
2025-12-31,EDF
2026-01-01,WY
2026-01-02,av
2026-01-03,CB
2026-01-04,EE
2026-01-05,WB
2026-01-06,ed
2026-01-07,LB
2026-01-08,WS
2026-01-09,SC
2026-01-10,WBL
2026-01-11,AP
2026-01-12,JD
2026-01-13,EH
2026-01-14,JM
2026-01-15,wb
2026-01-16,ma
2026-01-17,CM
2026-01-18,HL
2026-01-19,OC
2026-01-20,CW
2026-01-21,AF
2026-01-22,WH
2026-01-23,EM
2026-01-24,RB
2026-01-25,AB
2026-01-26,WYC
2026-01-27,bc
2026-01-28,at
2026-01-29,BJ
2026-01-30,EP
2026-01-31,JK
2026-02-01,LH
2026-02-02,AM
2026-02-03,GB
2026-02-04,gs
2026-02-05,ad
2026-02-06,WSJ
2026-02-07,HS
2026-02-08,RN
2026-02-09,GC
2026-02-10,CR
2026-02-11,SSS
2026-02-12,EB
2026-02-13,au
2026-02-14,BG
2026-02-15,TB
2026-02-16,WA
2026-02-17,PPS
2026-02-18,PL
2026-02-19,LC
2026-02-20,JMD
2026-02-21,GA
2026-02-22,ATP
2026-02-23,GS
2026-02-24,FR
2026-02-25,TS
2026-02-26,TE
2026-02-27,SP
2026-02-28,RF
2026-03-01,SS
